Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:VG8,"VGI Partners Asian Investments Limited (ASX:VG8)",https://www.listcorp.com/asx/vg8/vgi-partners-asian-investments-limited,"	405174000",1.845,0.00,0,Financials
ASX:HT1,"HT&E Limited (ASX:HT1)",https://www.listcorp.com/asx/ht1/ht-and-e-limited,"	404417000",1.3,0.00,0,"Communication Services"
ASX:PRN,"Perenti Global Limited (ASX:PRN)",https://www.listcorp.com/asx/prn/perenti-global-limited,"	403915000",0.575,0.00,0,Materials
ASX:GMD,"Genesis Minerals Limited (ASX:GMD)",https://www.listcorp.com/asx/gmd/genesis-minerals-limited,"	401748000",1.385,0.00,0,Materials
ASX:ADH,"Adairs Limited (ASX:ADH)",https://www.listcorp.com/asx/adh/adairs-limited,"	400880000",2.41,0.00,0,"Consumer Discretionary"
ASX:PAN,"Panoramic Resources Limited (ASX:PAN)",https://www.listcorp.com/asx/pan/panoramic-resources,"	399928000",0.195,0.00,0,Materials
ASX:LLL,"Leo Lithium Limited (ASX:LLL)",https://www.listcorp.com/asx/lll/leo-lithium-limited,"	399596000",0.435,0.00,0,Unclassified
ASX:PCI,"Perpetual Credit Income Trust (ASX:PCI)",https://www.listcorp.com/asx/pci/perpetual-credit-income-trust,"	398851000",0.995,0.00,0,Unclassified
ASX:JMS,"Jupiter Mines Limited (ASX:JMS)",https://www.listcorp.com/asx/jms/jupiter-mines-limited,"	391798000",0.2,0.00,0,Materials
ASX:GDX,"Vaneck Vectors Gold Miners ETF (ASX:GDX)",https://www.listcorp.com/asx/gdx/vaneck-vectors-gold-miners-etf,"	389315000",37.55,0.00,0,Financials
ASX:PAC,"Pacific Current Group Limited (ASX:PAC)",https://www.listcorp.com/asx/pac/pacific-current-group,"	388226000",7.59,0.00,0,Financials
ASX:PMC,"Platinum Capital (ASX:PMC)",https://www.listcorp.com/asx/pmc/platinum-capital,"	387981000",1.32,0.00,0,Financials
ASX:EHL,"Emeco Holdings Limited (ASX:EHL)",https://www.listcorp.com/asx/ehl/emeco-holdings-limited,"	387100000",0.735,0.00,0,Industrials
ASX:CVN,"Carnarvon Energy Limited (ASX:CVN)",https://www.listcorp.com/asx/cvn/carnarvon-energy-limited,"	387040000",0.21,0.00,0,Energy
ASX:MYR,"Myer Holdings Limited (ASX:MYR)",https://www.listcorp.com/asx/myr/myer-holdings,"	386001000",0.47,0.00,0,"Consumer Discretionary"
ASX:VGL,"Vista Group International Limited (ASX:VGL)",https://www.listcorp.com/asx/vgl/vista-group-international-limited,"	383601000",1.645,0.00,0,"Information Technology"
ASX:BVS,"Bravura Solutions Limited (ASX:BVS)",https://www.listcorp.com/asx/bvs/bravura-solutions-limited,"	376256000",1.53,0.00,0,"Information Technology"
ASX:AVR,"Anteris Technologies Ltd (ASX:AVR)",https://www.listcorp.com/asx/avr/anteris-technologies-ltd,"	375198000",27.15,0.00,0,"Health Care"
ASX:FLOT,"VanEck Australian Floating Rate ETF (ASX:FLOT)",https://www.listcorp.com/asx/flot/vaneck-australian-floating-rate-etf,"	373830000",24.75,0.00,0,Financials
ASX:AGG,"Anglogold Ashanti (ASX:AGG)",https://www.listcorp.com/asx/agg/anglogold-ashanti,"	373781000",4.19,0.00,0,Materials
ASX:BFG,"Bell Financial Group Limited (ASX:BFG)",https://www.listcorp.com/asx/bfg/bell-financial-group-limited,"	372063000",1.16,0.00,0,Financials
ASX:ASG,"Autosports Group Limited (ASX:ASG)",https://www.listcorp.com/asx/asg/autosports-group-limited,"	368835000",1.835,0.00,0,"Consumer Discretionary"
ASX:SST,"Steamships Trading Company Limited (ASX:SST)",https://www.listcorp.com/asx/sst/steamships-trading-company,"	365897000",11.8,0.00,0,Industrials
ASX:RUL,"RPMGlobal Holdings Limited (ASX:RUL)",https://www.listcorp.com/asx/rul/rpmglobal-holdings-limited,"	365306000",1.58,0.00,0,"Information Technology"
ASX:KCN,"Kingsgate Consolidated Limited (ASX:KCN)",https://www.listcorp.com/asx/kcn/kingsgate-consolidated,"	365179000",1.65,0.00,0,Materials
ASX:IVE,"iShares MSCI EAFE ETF (ASX:IVE)",https://www.listcorp.com/asx/ive/ishares-msci-eafe-etf,"	364768000",92.51,0.00,0,Financials
ASX:DVP,"Develop Global Limited (ASX:DVP)",https://www.listcorp.com/asx/dvp/develop-global-limited,"	364080000",2.26,0.00,0,Materials
ASX:NGI,"Navigator Global Investments (ASX:NGI)",https://www.listcorp.com/asx/ngi/navigator-global-investments,"	362966000",1.54,0.00,0,Financials
ASX:EML,"EML Payments Limited (ASX:EML)",https://www.listcorp.com/asx/eml/eml-payments-limited,"	362259000",1.05,0.00,0,"Information Technology"
ASX:GLN,"Galan Lithium Limited (ASX:GLN)",https://www.listcorp.com/asx/gln/galan-lithium-limited,"	360713000",1.185,0.00,0,Materials
ASX:RDY,"ReadyTech Holdings Limited (ASX:RDY)",https://www.listcorp.com/asx/rdy/readytech-holdings-limited,"	359441000",3.24,0.00,0,"Information Technology"
ASX:BSE,"Base Resources Ltd (ASX:BSE)",https://www.listcorp.com/asx/bse/base-resources,"	359294000",0.305,0.00,0,Materials
ASX:FDV,"Frontier Digital Ventures (ASX:FDV)",https://www.listcorp.com/asx/fdv/frontier-digital-ventures,"	356549000",0.94,0.00,0,"Communication Services"
ASX:AFP,"AFT Pharmaceuticals Limited (ASX:AFP)",https://www.listcorp.com/asx/afp/aft-pharmaceuticals-limited,"	356545000",3.4,0.00,0,"Health Care"
ASX:SKT,"Sky Network Television Limited (ASX:SKT)",https://www.listcorp.com/asx/skt/sky-network-television-limited,"	356364000",2.04,0.00,0,"Communication Services"
ASX:GDF,"Garda Diversified Property Fund (ASX:GDF)",https://www.listcorp.com/asx/gdf/garda-diversified-property-fund,"	353987000",1.555,0.00,0,"Real Estate"
ASX:UNI,"Universal Store Holdings Limited (ASX:UNI)",https://www.listcorp.com/asx/uni/universal-store,"	352804000",4.82,0.00,0,"Consumer Discretionary"
ASX:AMH,"AMCIL Limited (ASX:AMH)",https://www.listcorp.com/asx/amh/amcil,"	350157000",1.13,0.00,0,Financials
ASX:VAE,"Vanguard FTSE Asia Ex Japan Shares Index ETF (ASX:VAE)",https://www.listcorp.com/asx/vae/vanguard-ftse-asia-ex-japan-shares-index-etf,"	348488000",65.71,0.00,0,Financials
ASX:HFR,"Highfield Resources Limited (ASX:HFR)",https://www.listcorp.com/asx/hfr/highfield-resources,"	346208000",0.95,0.00,0,Materials
ASX:SDG,"Sunland Group (ASX:SDG)",https://www.listcorp.com/asx/sdg/sunland,"	345012000",2.52,0.00,0,"Real Estate"
ASX:3PL,"3P Learning (ASX:3PL)",https://www.listcorp.com/asx/3pl/3p-learning,"	344223000",1.245,0.00,0,"Consumer Discretionary"
ASX:GNG,"GR Engineering Services Limited (ASX:GNG)",https://www.listcorp.com/asx/gng/gr-engineering-services-limited,"	344138000",2.13,0.00,0,Materials
ASX:RAC,"Race Oncology Limited (ASX:RAC)",https://www.listcorp.com/asx/rac/race-oncology-limited,"	342968000",2.15,0.00,0,"Health Care"
ASX:CWP,"Cedar Woods Properties Limited (ASX:CWP)",https://www.listcorp.com/asx/cwp/cedar-woods-properties-limited,"	342473000",4.17,0.00,0,"Real Estate"
ASX:MLD,"MACA Limited (ASX:MLD)",https://www.listcorp.com/asx/mld/maca-limited,"	341711000",1,0.00,0,Materials
ASX:SYM,"Symbio Holdings Limited (ASX:SYM)",https://www.listcorp.com/asx/sym/symbio-holdings-limited,"	341055000",4.02,0.00,0,"Information Technology"
ASX:DDH,"DDH1 Limited (ASX:DDH)",https://www.listcorp.com/asx/ddh/ddh1-limited,"	339274000",0.795,0.00,0,Materials
ASX:COG,"Consolidated Operations Group (ASX:COG)",https://www.listcorp.com/asx/cog/consolidated-operations-group,"	336361000",1.8,0.00,0,Financials
ASX:PPE,"Peoplein Limited (ASX:PPE)",https://www.listcorp.com/asx/ppe/peoplein-limited,"	334780000",3.39,0.00,0,Industrials
ASX:BMN,"Bannerman Energy Limited (ASX:BMN)",https://www.listcorp.com/asx/bmn/bannerman-energy-limited,"	333245000",2.24,0.00,0,Energy
ASX:RHY,"Rhythm Biosciences Limited (ASX:RHY)",https://www.listcorp.com/asx/rhy/rhythm-biosciences-limited,"	331840000",1.55,0.00,0,"Health Care"
ASX:PAI,"Platinum Asia Investments (ASX:PAI)",https://www.listcorp.com/asx/pai/platinum-asia-investments,"	329407000",0.895,0.00,0,Financials
ASX:NWF,"Newfield Resources (ASX:NWF)",https://www.listcorp.com/asx/nwf/newfield-resources,"	329326000",0.44,0.00,0,Materials
ASX:EZL,"Euroz Hartleys Group Limited (ASX:EZL)",https://www.listcorp.com/asx/ezl/euroz-hartleys-group-limited,"	327513000",1.66,0.00,0,Financials
ASX:WMI,"WAM Microcap Limited (ASX:WMI)",https://www.listcorp.com/asx/wmi/wam-microcap-limited,"	326259000",1.56,0.00,0,Financials
ASX:A4N,"Alpha HPA Limited (ASX:A4N)",https://www.listcorp.com/asx/a4n/alpha-hpa-limited,"	326150000",0.41,0.00,0,Materials
ASX:PPS,"Praemium Limited (ASX:PPS)",https://www.listcorp.com/asx/pps/praemium-limited,"	325141000",0.63,0.00,0,"Information Technology"
ASX:PLL,"Piedmont Lithium Limited (ASX:PLL)",https://www.listcorp.com/asx/pll/piedmont-lithium-limited,"	324456000",0.615,0.00,0,Materials
ASX:MAY,"Melbana Energy Limited (ASX:MAY)",https://www.listcorp.com/asx/may/melbana-energy-limited,"	322586000",0.11,0.00,0,Energy
ASX:AMI,"Aurelia Metals Limited (ASX:AMI)",https://www.listcorp.com/asx/ami/aurelia-metals-limited,"	321635000",0.275,0.00,0,Materials
ASX:RBL,"Redbubble Limited (ASX:RBL)",https://www.listcorp.com/asx/rbl/redbubble-limited,"	320067000",1.18,0.00,0,"Consumer Discretionary"
